Sentiment,Content
Positive,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you??"
Positive,"It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much ????"
Positive,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !"
Positive,100% genuine
Positive,Happy to get the iPhone 13 in Amazon offer
Positive,5 star
Positive,"Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something...."
Positive,Good product
Positive,Nice product
Positive,Excellent product
Positive,"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I canít believe what Iím seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isnít disappointing.Display quality is truly flagship level and Iím quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I donít think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it."
Positive,Nice
Positive,Itís a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good
Positive,What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.
Positive,I bought the product little expensive. Within a month price dropped by Rs.17000.
Positive,"Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13."
Neutral,Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money
Positive,Loved it
Positive,Thereís no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.
Negetive,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document
Positive,Best
Neutral,Not worth
Neutral,Nothing new features only model changed
Negetive,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 
Positive,"This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience."
Positive,Good not like android
Positive,Good charge
Positive,Actually Iím android user now switched to iPhone user experience is good but camera quality isnít meet my expectations when taken photos on day times and little low lights youíll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model
Positive,Very good I am happy
Positive,Works fine
Positive,Cool
Positive,"As it is an apple product, quality is ensured and proven"
Positive,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback
Positive,fine
Positive,"I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me."
Negetive,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesnítHave  personal hotspot and Airdrop . Itís blocked , not turning on . Deception . I canít afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone ."
Positive,I received iPhone 13 timely.Product is working great.It improved my lifestyle  as  well.Camera quality is awesome. Battery performance is pretty good.Thanks to Amazon for your great service.
Neutral,"Facing heating issue, Battery performance is not that good. On screen 12 hrs only as of now. Hanging in between, which we didnít expect from Apple. Look is fantastic. Small while compared to XR."
Positive,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like Iíve time-traveled from the past to the future! The pink color is absolutely gorgeousóit's the perfect blend of subtle and stylish, making the phone look sleek and modern. Iíve received so many compliments on it already.The design is everything youíd expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, itís almost like I was using a rotary phone before this. I half-expected Siri to say, ìWelcome to the 21st century!îThe display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. Itís crazy how much has changedóface ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If youíre thinking about upgrading, especially if youíre coming from a much older model like I was, donít hesitate. This iPhone 13 in pink is a stunner and well worth the leap!"
Positive,"I really wanted to get an iPhone and it is my first iPhone but i loved it the sound quality is great and it charges fast, the phone is a bit heavy but it looks classy the display also works well and the camera is the best ????"
